 Produto interno bruto per capita - 2010 a 2013, referência 2010 - Brasil
PIB per capita por Município
Período:2010
"Município";"PIB_per_capita"
"220117 BARRA D'ALCANTARA";3922,46
"220120 BARRAS";3801,49
"220130 BARREIRAS DO PIAUI";7711,76
"220140 BARRO DURO";4544,43
"220150 BATALHA";3478,99
"220155 BELA VISTA DO PIAUI";3814,94
"220157 BELEM DO PIAUI";3283,29
"220160 BENEDITINOS";3241,96
"220170 BERTOLINIA";5126,98
"220173 BETANIA DO PIAUI";3581,94
"220177 BOA HORA";3007,96
"220180 BOCAINA";4020,40
"220190 BOM JESUS";8973,73
"220191 BOM PRINCIPIO DO PIAUI";3673,07
"220192 BONFIM DO PIAUI";3201,78
"220194 BOQUEIRAO DO PIAUI";3058,81
"220196 BRASILEIRA";3008,84
"220198 BREJO DO PIAUI";3772,13
"220200 BURITI DOS LOPES";4623,73
"220202 BURITI DOS MONTES";3257,19
"220205 CABECEIRAS DO PIAUI";3131,65
"220207 CAJAZEIRAS DO PIAUI";3410,08
"220208 CAJUEIRO DA PRAIA";4585,55
"220209 CALDEIRAO GRANDE DO PIAUI";3476,05
"220210 CAMPINAS DO PIAUI";3763,84
"220211 CAMPO ALEGRE DO FIDALGO";3353,33
"220213 CAMPO GRANDE DO PIAUI";3679,65
"220217 CAMPO LARGO DO PIAUI";3050,64
"220220 CAMPO MAIOR";5885,95
"220225 CANAVIEIRA";3909,43
"220230 CANTO DO BURITI";4897,54
"220240 CAPITAO DE CAMPOS";3096,18
"220245 CAPITAO GERVASIO OLIVEIRA";3897,33
"220250 CARACOL";3371,04
"220253 CARAUBAS DO PIAUI";3737,89
"220255 CARIDADE DO PIAUI";3451,57
"220260 CASTELO DO PIAUI";4466,87
"220265 CAXINGO";4352,63
"220270 COCAL";3359,91
"220271 COCAL DE TELHA";3787,83
"220272 COCAL DOS ALVES";3387,68
"220273 COIVARAS";3577,40
"220275 COLONIA DO GURGUEIA";4258,55
"220277 COLONIA DO PIAUI";3591,35
"220280 CONCEICAO DO CANINDE";3444,54
"220285 CORONEL JOSE DIAS";3685,77
"220290 CORRENTE";6335,89
"220300 CRISTALANDIA DO PIAUI";3432,66
"220310 CRISTINO CASTRO";4042,32
"220320 CURIMATA";4053,11
"220323 CURRAIS";7395,60
"220325 CURRALINHOS";2822,79
"220327 CURRAL NOVO DO PIAUI";3000,53
"220330 DEMERVAL LOBAO";3057,00
"220335 DIRCEU ARCOVERDE";3351,16
"220340 DOM EXPEDITO LOPES";5124,25
"220342 DOMINGOS MOURAO";3460,51
"220345 DOM INOCENCIO";2933,47
"220350 ELESBAO VELOSO";4085,16
"220360 ELISEU MARTINS";4426,80
"220370 ESPERANTINA";4225,48
"220375 FARTURA DO PIAUI";2938,76
"220380 FLORES DO PIAUI";3935,09
"220385 FLORESTA DO PIAUI";3799,38
"220390 FLORIANO";9537,19
"220400 FRANCINOPOLIS";3569,97
"220410 FRANCISCO AYRES";3590,31
"220415 FRANCISCO MACEDO";3720,00
"220420 FRANCISCO SANTOS";3777,60
"220430 FRONTEIRAS";16722,78
"220435 GEMINIANO";4010,98
"220440 GILBUES";7014,57
"220450 GUADALUPE";17317,98
"220455 GUARIBAS";3266,72
"220460 HUGO NAPOLEAO";3789,27
"220465 ILHA GRANDE";3976,83
"220470 INHUMA";3594,87
"220480 IPIRANGA DO PIAUI";3703,44
"220490 ISAIAS COELHO";3231,95
"220500 ITAINOPOLIS";3691,21
"220510 ITAUEIRA";4841,69
"220515 JACOBINA DO PIAUI";4075,17
"220520 JAICOS";3963,89
"220525 JARDIM DO MULATO";3441,45
"220527 JATOBA DO PIAUI";4720,69
"220530 JERUMENHA";4532,22
"220535 JOAO COSTA";4548,34
"220540 JOAQUIM PIRES";3053,31
"220545 JOCA MARQUES";3138,86
"220550 JOSE DE FREITAS";4480,62
"220551 JUAZEIRO DO PIAUI";4671,32
"220552 JULIO BORGES";3574,81
"220553 JUREMA";3818,35
"220554 LAGOINHA DO PIAUI";3553,71
"220555 LAGOA ALEGRE";3230,73
"220556 LAGOA DO BARRO DO PIAUI";3594,76
"220557 LAGOA DE SAO FRANCISCO";3296,57
"220558 LAGOA DO PIAUI";14383,23
"220559 LAGOA DO SITIO";3745,06
"220560 LANDRI SALES";6040,50
"220570 LUIS CORREIA";4103,82
"220580 LUZILANDIA";4527,11
"220585 MADEIRO";3334,53
"220590 MANOEL EMIDIO";4536,50
"220595 MARCOLANDIA";3671,46
"220600 MARCOS PARENTE";3801,45
"220605 MASSAPE DO PIAUI";2974,68
"220610 MATIAS OLIMPIO";3246,32
"220620 MIGUEL ALVES";3367,11
"220630 MIGUEL LEAO";5888,29
"220635 MILTON BRANDAO";2987,93
"220640 MONSENHOR GIL";6293,15
"220650 MONSENHOR HIPOLITO";3582,62
"220660 MONTE ALEGRE DO PIAUI";5591,26
"220665 MORRO CABECA NO TEMPO";3956,92
"220667 MORRO DO CHAPEU DO PIAUI";3237,66
"220669 MURICI DOS PORTELAS";3331,83
"220670 NAZARE DO PIAUI";3286,82
"220672 NAZARIA";3591,39
"220675 NOSSA SENHORA DE NAZARE";3267,29
"220680 NOSSA SENHORA DOS REMEDIOS";3579,68
"220690 NOVO ORIENTE DO PIAUI";3322,27
"220695 NOVO SANTO ANTONIO";3977,16
"220700 OEIRAS";5384,70
"220710 OLHO D'AGUA DO PIAUI";4047,73
"220720 PADRE MARCOS";3905,80
"220730 PAES LANDIM";4140,75
"220735 PAJEU DO PIAUI";3736,50
"220740 PALMEIRA DO PIAUI";5949,98
"220750 PALMEIRAIS";3359,17
"220755 PAQUETA";3389,29
"220760 PARNAGUA";4034,15
"220770 PARNAIBA";6645,70
"220775 PASSAGEM FRANCA DO PIAUI";3772,76
"220777 PATOS DO PIAUI";3348,00
"220779 PAU D'ARCO DO PIAUI";3084,60
"220780 PAULISTANA";8411,68
"220785 PAVUSSU";3674,32
"220790 PEDRO II";3730,75
"220793 PEDRO LAURENTINO";4287,77
"220795 NOVA SANTA RITA";3526,36
"220800 PICOS";9335,74
"220810 PIMENTEIRAS";3480,67
"220820 PIO IX";4061,99
"220830 PIRACURUCA";4223,61
"220840 PIRIPIRI";5224,04
"220850 PORTO";3095,31
"220855 PORTO ALEGRE DO PIAUI";4751,25
"220860 PRATA DO PIAUI";3789,68
"220865 QUEIMADA NOVA";3565,39
"220870 REDENCAO DO GURGUEIA";3785,44
"220880 REGENERACAO";3766,22
"220885 RIACHO FRIO";3919,50
"220887 RIBEIRA DO PIAUI";3128,44
"220890 RIBEIRO GONCALVES";11883,71
"220900 RIO GRANDE DO PIAUI";3677,40
"220910 SANTA CRUZ DO PIAUI";3518,13
"220915 SANTA CRUZ DOS MILAGRES";3897,90
"220920 SANTA FILOMENA";11723,67
"220930 SANTA LUZ";3563,38
"220935 SANTANA DO PIAUI";3296,39
"220937 SANTA ROSA DO PIAUI";3286,23
"220940 SANTO ANTONIO DE LISBOA";4514,06
"220945 SANTO ANTONIO DOS MILAGRES";3510,66
"220950 SANTO INACIO DO PIAUI";3424,60
"220955 SAO BRAZ DO PIAUI";3147,40
"220960 SAO FELIX DO PIAUI";3583,71
"220965 SAO FRANCISCO DE ASSIS DO PIAUI";3145,52
"220970 SAO FRANCISCO DO PIAUI";3430,79
"220975 SAO GONCALO DO GURGUEIA";3844,59
"220980 SAO GONCALO DO PIAUI";3544,53
"220985 SAO JOAO DA CANABRAVA";3475,99
"220987 SAO JOAO DA FRONTEIRA";3717,46
"220990 SAO JOAO DA SERRA";3653,89
"220995 SAO JOAO DA VARJOTA";3208,72
"220997 SAO JOAO DO ARRAIAL";2986,62
"221000 SAO JOAO DO PIAUI";4637,07
"221005 SAO JOSE DO DIVINO";4075,71
"221010 SAO JOSE DO PEIXE";4373,42
"221020 SAO JOSE DO PIAUI";3748,50
"221030 SAO JULIAO";3775,34
"221035 SAO LOURENCO DO PIAUI";3228,12
"221037 SAO LUIS DO PIAUI";3345,42
"221038 SAO MIGUEL DA BAIXA GRANDE";4215,15
"221039 SAO MIGUEL DO FIDALGO";3744,20
"221040 SAO MIGUEL DO TAPUIO";3229,76
"221050 SAO PEDRO DO PIAUI";3649,46
"221060 SAO RAIMUNDO NONATO";5343,76
"221062 SEBASTIAO BARROS";5238,78
"221063 SEBASTIAO LEAL";17274,89
"221065 SIGEFREDO PACHECO";3299,70
"221070 SIMOES";3601,79
"221080 SIMPLICIO MENDES";4622,80
"221090 SOCORRO DO PIAUI";3281,86
"221093 SUSSUAPARA";4487,95
"221095 TAMBORIL DO PIAUI";3843,31
"221097 TANQUE DO PIAUI";4089,31
"221100 TERESINA";13056,67
"221110 UNIAO";4867,70
"221120 URUCUI";21196,36
"221130 VALENCA DO PIAUI";4999,32
"221135 VARZEA BRANCA";3147,89
"221140 VARZEA GRANDE";3925,94
"221150 VERA MENDES";4029,79
"221160 VILA NOVA DO PIAUI";4866,82
"221170 WALL FERRAZ";3581,74
"230010 ABAIARA";3494,76
"230015 ACARAPE";4289,93
"230020 ACARAU";5720,89
"230030 ACOPIARA";4180,48
"230040 AIUABA";3187,99
"230050 ALCANTARAS";3436,88
"230060 ALTANEIRA";3423,76
"230070 ALTO SANTO";4932,83
"230075 AMONTADA";6185,24
"230080 ANTONINA DO NORTE";4043,46
"230090 APUIARES";3537,90
"230100 AQUIRAZ";10582,90
"230110 ARACATI";8366,77
"230120 ARACOIABA";3910,51
"230125 ARARENDA";3339,88
"230130 ARARIPE";4165,93
"230140 ARATUBA";5959,69
"230150 ARNEIROZ";3997,75
"230160 ASSARE";3868,03
"230170 AURORA";3962,77
"230180 BAIXIO";3713,04
"230185 BANABUIU";4787,05
"230190 BARBALHA";8414,94
"230195 BARREIRA";4083,88
"230200 BARRO";4428,24
"230205 BARROQUINHA";3999,82
"230210 BATURITE";5928,71
"230220 BEBERIBE";6669,15
"230230 BELA CRUZ";3409,89
"230240 BOA VIAGEM";4392,94
"230250 BREJO SANTO";5457,11
"230260 CAMOCIM";6323,48
"230270 CAMPOS SALES";4594,82
"230280 CANINDE";4898,97
"230290 CAPISTRANO";4096,61
"230300 CARIDADE";3593,91
"230310 CARIRE";3746,30
"230320 CARIRIACU";3799,49
"230330 CARIUS";3636,27
"230340 CARNAUBAL";3835,30
"230350 CASCAVEL";7237,05
"230360 CATARINA";3113,37
"230365 CATUNDA";4531,53
"230370 CAUCAIA";7859,98
"230380 CEDRO";4259,00
"230390 CHAVAL";3817,49
"230393 CHORO";3433,68
"230395 CHOROZINHO";5013,97
"230400 COREAU";3666,31
"230410 CRATEUS";5217,10
"230420 CRATO";8124,77
"230423 CROATA";3995,06
"230425 CRUZ";4133,03
"230426 DEPUTADO IRAPUAN PINHEIRO";3956,50
"230427 ERERE";3871,50
"230428 EUSEBIO";30541,17
"230430 FARIAS BRITO";3977,68
"230435 FORQUILHA";4211,97
"230440 FORTALEZA";15204,48
"230445 FORTIM";5044,27
"230450 FRECHEIRINHA";5015,13
"230460 GENERAL SAMPAIO";4579,71
"230465 GRACA";3616,39
"230470 GRANJA";3514,20
"230480 GRANJEIRO";4105,25
"230490 GROAIRAS";3739,69
"230495 GUAIUBA";4348,66
"230500 GUARACIABA DO NORTE";5539,78
"230510 GUARAMIRANGA";9082,38
"230520 HIDROLANDIA";4185,16
"230523 HORIZONTE";20825,05
"230526 IBARETAMA";3397,59
"230530 IBIAPINA";5003,08
"230533 IBICUITINGA";3800,77
"230535 ICAPUI";8296,76
"230540 ICO";4618,55
"230550 IGUATU";9177,87
"230560 INDEPENDENCIA";4970,55
"230565 IPAPORANGA";3233,70
"230570 IPAUMIRIM";4208,71
"230580 IPU";4723,93
"230590 IPUEIRAS";3834,52
"230600 IRACEMA";5147,54
"230610 IRAUCUBA";3797,54
"230620 ITAICABA";4268,69
"230625 ITAITINGA";5618,74
"230630 ITAPAGE";12299,86
"230640 ITAPIPOCA";6067,10
"230650 ITAPIUNA";3516,21
"230655 ITAREMA";5583,79
"230660 ITATIRA";4021,28
"230670 JAGUARETAMA";4633,18
"230680 JAGUARIBARA";7250,62
"230690 JAGUARIBE";6841,07
"230700 JAGUARUANA";7160,79
"230710 JARDIM";4040,18
"230720 JATI";3804,22
"230725 JIJOCA DE JERICOACOARA";5667,93
"230730 JUAZEIRO DO NORTE";8635,77
"230740 JUCAS";4334,16
"230750 LAVRAS DA MANGABEIRA";3610,92
"230760 LIMOEIRO DO NORTE";9005,76
"230763 MADALENA";4137,92
"230765 MARACANAU";21456,54
"230770 MARANGUAPE";7272,60
"230780 MARCO";6073,36
"230790 MARTINOPOLE";3228,78
"230800 MASSAPE";3441,33
"230810 MAURITI";4239,78
"230820 MERUOCA";3498,42
"230830 MILAGRES";4302,32
"230835 MILHA";4711,83
"230837 MIRAIMA";3640,39
"230840 MISSAO VELHA";4852,31
"230850 MOMBACA";3731,48
"230860 MONSENHOR TABOSA";3762,49
"230870 MORADA NOVA";6597,39
"230880 MORAUJO";3718,17
"230890 MORRINHOS";3666,60
"230900 MUCAMBO";3662,93
"230910 MULUNGU";6372,85
"230920 NOVA OLINDA";4824,78
"230930 NOVA RUSSAS";4536,78
"230940 NOVO ORIENTE";3540,79
"230945 OCARA";3417,57
"230950 OROS";5428,90
"230960 PACAJUS";9777,17
"230970 PACATUBA";8182,26
"230980 PACOTI";7055,92
"230990 PACUJA";4298,81
"231000 PALHANO";4360,37
"231010 PALMACIA";5008,94
"231020 PARACURU";8026,87
"231025 PARAIPABA";6090,74
"231030 PARAMBU";3802,23
"231040 PARAMOTI";4229,50
"231050 PEDRA BRANCA";3777,92
"231060 PENAFORTE";6131,42
"231070 PENTECOSTE";5669,30
"231080 PEREIRO";3947,34
"231085 PINDORETAMA";5091,85
"231090 PIQUET CARNEIRO";3860,52
"231095 PIRES FERREIRA";3525,74
"231100 PORANGA";3150,77
"231110 PORTEIRAS";4172,07
"231120 POTENGI";4287,53
"231123 POTIRETAMA";4215,05
"231126 QUITERIANOPOLIS";3601,38
"231130 QUIXADA";7136,93
"231135 QUIXELO";4934,32
"231140 QUIXERAMOBIM";6381,29
"231150 QUIXERE";6669,75
"231160 REDENCAO";5954,88
"231170 RERIUTABA";4548,21
"231180 RUSSAS";8248,00
"231190 SABOEIRO";3399,90
"231195 SALITRE";3752,59
"231200 SANTANA DO ACARAU";3698,60
"231210 SANTANA DO CARIRI";4168,72
"231220 SANTA QUITERIA";5308,79
"231230 SAO BENEDITO";5362,50
"231240 SAO GONCALO DO AMARANTE";11794,58
"231250 SAO JOAO DO JAGUARIBE";6695,11
"231260 SAO LUIS DO CURU";4633,12
"231270 SENADOR POMPEU";5210,94
"231280 SENADOR SA";3684,27
"231290 SOBRAL";13595,34
"231300 SOLONOPOLE";4371,97
"231310 TABULEIRO DO NORTE";6205,95
"231320 TAMBORIL";3887,08
"231325 TARRAFAS";3627,29
"231330 TAUA";4906,88
"231335 TEJUCUOCA";3098,13
"231340 TIANGUA";6869,48
"231350 TRAIRI";5132,44
"231355 TURURU";3337,96
"231360 UBAJARA";6316,51
"231370 UMARI";3603,94
"231375 UMIRIM";3446,60
"231380 URUBURETAMA";9405,29
"231390 URUOCA";3680,25
"231395 VARJOTA";5649,29
"231400 VARZEA ALEGRE";4386,19
"231410 VICOSA DO CEARA";4016,73
"240010 ACARI";6487,10
"240020 ACU";7991,06
"240030 AFONSO BEZERRA";4472,08
"240040 AGUA NOVA";5034,06
"240050 ALEXANDRIA";4682,02
"240060 ALMINO AFONSO";4083,11
"240070 ALTO DO RODRIGUES";24178,66
"240080 ANGICOS";5382,70
"240090 ANTONIO MARTINS";4270,83
"240100 APODI";10684,13
"240110 AREIA BRANCA";29412,35
"240120 ARES";13699,13
"240130 AUGUSTO SEVERO";4595,19
"240140 BAIA FORMOSA";15408,89
"240145 BARAUNA";12802,85
"240150 BARCELONA";4803,01
"240160 BENTO FERNANDES";5046,68
"240165 BODO";6948,11
"240170 BOM JESUS";4244,95
"240180 BREJINHO";4520,67
"240185 CAICARA DO NORTE";5261,12
"240190 CAICARA DO RIO DO VENTO";4958,01
"240200 CAICO";9276,02
"240210 CAMPO REDONDO";4276,59
"240220 CANGUARETAMA";7349,95
"240230 CARAUBAS";8912,93
"240240 CARNAUBA DOS DANTAS";11645,73
"240250 CARNAUBAIS";8825,66
"240260 CEARA-MIRIM";5478,26
"240270 CERRO CORA";5022,70
"240280 CORONEL EZEQUIEL";4618,44
"240290 CORONEL JOAO PESSOA";4765,37
"240300 CRUZETA";8051,59
"240310 CURRAIS NOVOS";7874,50
"240320 DOUTOR SEVERIANO";4060,44
"240325 PARNAMIRIM";10828,56
"240330 ENCANTO";4167,05
"240340 EQUADOR";8626,58
"240350 ESPIRITO SANTO";3526,25
"240360 EXTREMOZ";7537,88
"240370 FELIPE GUERRA";11134,44
"240375 FERNANDO PEDROZA";4813,64
"240380 FLORANIA";4536,57
"240390 FRANCISCO DANTAS";5028,82
"240400 FRUTUOSO GOMES";5076,80
"240410 GALINHOS";42197,14
"240420 GOIANINHA";7099,49
"240430 GOVERNADOR DIX-SEPT ROSADO";15292,30
"240440 GROSSOS";24291,50
"240450 GUAMARE";50802,31
"240460 IELMO MARINHO";5174,64
"240470 IPANGUACU";5852,79
"240480 IPUEIRA";6352,53
"240485 ITAJA";5892,38
"240490 ITAU";5180,13
"240500 JACANA";4177,61
"240510 JANDAIRA";4524,61
"240520 JANDUIS";5294,58
"240530 JANUARIO CICCO";4404,68
"240540 JAPI";4475,80
"240550 JARDIM DE ANGICOS";5504,18
"240560 JARDIM DE PIRANHAS";7322,44
"240570 JARDIM DO SERIDO";7953,66
"240580 JOAO CAMARA";5110,68
"240590 JOAO DIAS";4754,23
"240600 JOSE DA PENHA";4902,93
"240610 JUCURUTU";5161,71
"240615 JUNDIA";4907,86
"240620 LAGOA D'ANTA";4399,67
"240630 LAGOA DE PEDRAS";4595,88
"240640 LAGOA DE VELHOS";6101,87
"240650 LAGOA NOVA";4298,55
"240660 LAGOA SALGADA";4711,99
"240670 LAJES";4752,30
"240680 LAJES PINTADAS";4843,13
"240690 LUCRECIA";4855,66
"240700 LUIS GOMES";4620,44
"240710 MACAIBA";11684,94
"240720 MACAU";22491,49
"240725 MAJOR SALES";4537,34
"240730 MARCELINO VIEIRA";4643,12
"240740 MARTINS";4314,72
"240750 MAXARANGUAPE";5172,19
"240760 MESSIAS TARGINO";5086,43
"240770 MONTANHAS";3953,05
"240780 MONTE ALEGRE";4689,84
"240790 MONTE DAS GAMELEIRAS";5849,34
"240800 MOSSORO";17431,46
"240810 NATAL";17578,92
"240820 NISIA FLORESTA";7060,11
"240830 NOVA CRUZ";6453,06
"240840 OLHO-D'AGUA DO BORGES";5045,87
"240850 OURO BRANCO";5685,62
"240860 PARANA";4623,28
"240870 PARAU";5450,13
"240880 PARAZINHO";4390,23
"240890 PARELHAS";9934,88
"240895 RIO DO FOGO";6252,39
"240910 PASSA E FICA";4437,94
"240920 PASSAGEM";5394,97
"240930 PATU";4408,72
"240933 SANTA MARIA";4774,90
"240940 PAU DOS FERROS";8727,07
"240950 PEDRA GRANDE";6649,65
"240960 PEDRA PRETA";5621,42
"240970 PEDRO AVELINO";4460,48
"240980 PEDRO VELHO";4758,02
"240990 PENDENCIAS";14837,64
"241000 PILOES";6208,66
"241010 POCO BRANCO";3891,66
"241020 PORTALEGRE";5054,91
"241025 PORTO DO MANGUE";38468,70
"241030 SERRA CAIADA";4812,36
"241040 PUREZA";5327,18
"241050 RAFAEL FERNANDES";4926,36
"241060 RAFAEL GODEIRO";4826,91
"241070 RIACHO DA CRUZ";4613,63
"241080 RIACHO DE SANTANA";5047,44
"241090 RIACHUELO";4564,43
"241100 RODOLFO FERNANDES";4929,16
"241105 TIBAU";10270,87
"241110 RUY BARBOSA";4938,57
"241120 SANTA CRUZ";5018,08
"241140 SANTANA DO MATOS";4247,02
"241142 SANTANA DO SERIDO";10290,86
"241150 SANTO ANTONIO";4504,77
"241160 SAO BENTO DO NORTE";8787,24
"241170 SAO BENTO DO TRAIRI";4607,51
"241180 SAO FERNANDO";7194,74
"241190 SAO FRANCISCO DO OESTE";4890,74
"241200 SAO GONCALO DO AMARANTE";10640,20
"241210 SAO JOAO DO SABUGI";5040,74
"241220 SAO JOSE DE MIPIBU";8067,55
"241230 SAO JOSE DO CAMPESTRE";4301,03
"241240 SAO JOSE DO SERIDO";6965,25
"241250 SAO MIGUEL";5244,29
"241255 SAO MIGUEL DO GOSTOSO";5161,90
"241260 SAO PAULO DO POTENGI";7205,82
"241270 SAO PEDRO";4686,52
"241280 SAO RAFAEL";4973,70
"241290 SAO TOME";4129,95
"241300 SAO VICENTE";4470,08
"241310 SENADOR ELOI DE SOUZA";4346,25
"241320 SENADOR GEORGINO AVELINO";11838,64
"241330 SERRA DE SAO BENTO";3849,24
"241335 SERRA DO MEL";7674,43
"241340 SERRA NEGRA DO NORTE";5768,18
"241350 SERRINHA";4875,84
"241355 SERRINHA DOS PINTOS";4406,97
"241360 SEVERIANO MELO";5245,85
"241370 SITIO NOVO";4631,46
"241380 TABOLEIRO GRANDE";5592,82
"241390 TAIPU";6432,41
"241400 TANGARA";5009,90
"241410 TENENTE ANANIAS";4680,45
"241415 TENENTE LAURENTINO CRUZ";4920,68
"241420 TIBAU DO SUL";10431,32
"241430 TIMBAUBA DOS BATISTAS";6139,81
"241440 TOUROS";6452,24
"241445 TRIUNFO POTIGUAR";5249,27
"241450 UMARIZAL";5004,43
"241460 UPANEMA";6765,38
"241470 VARZEA";4940,84
"241475 VENHA-VER";4206,81
"241480 VERA CRUZ";4483,77
"241490 VICOSA";5696,24
"241500 VILA FLOR";6705,74
"250010 AGUA BRANCA";4260,87
"250020 AGUIAR";4670,66
"250030 ALAGOA GRANDE";4878,17
"250040 ALAGOA NOVA";7113,27
"250050 ALAGOINHA";4116,72
"250053 ALCANTIL";4662,01
"250057 ALGODAO DE JANDAIRA";5831,69
"250060 ALHANDRA";13261,26
"250070 SAO JOAO DO RIO DO PEIXE";5168,13
"250073 AMPARO";5102,35
"250077 APARECIDA";4571,42
"250080 ARACAGI";4823,30
"250090 ARARA";4098,64
"250100 ARARUNA";4560,73
"250110 AREIA";5156,54
"250115 AREIA DE BARAUNAS";5210,63
"250120 AREIAL";4100,91
"250130 AROEIRAS";4144,24
"250135 ASSUNCAO";5366,60
"250140 BAIA DA TRAICAO";5180,26
"250150 BANANEIRAS";5460,21
"250153 BARAUNA";4958,13
"250157 BARRA DE SANTANA";4236,91
"250160 BARRA DE SANTA ROSA";4902,57
"250170 BARRA DE SAO MIGUEL";4726,43
"250180 BAYEUX";8081,18
"250190 BELEM";4745,07
"250200 BELEM DO BREJO DO CRUZ";4315,98
"250205 BERNARDINO BATISTA";4442,72
"250210 BOA VENTURA";4142,39
"250215 BOA VISTA";16523,37
"250220 BOM JESUS";4835,41
"250230 BOM SUCESSO";4490,41
"250240 BONITO DE SANTA FE";4546,80
"250250 BOQUEIRAO";5879,97
"250260 IGARACY";4435,44
"250270 BORBOREMA";7300,17
"250280 BREJO DO CRUZ";4637,27
"250290 BREJO DOS SANTOS";4736,85
"250300 CAAPORA";13797,02
"250310 CABACEIRAS";5754,06
"250320 CABEDELO";26994,79
"250330 CACHOEIRA DOS INDIOS";6231,42
"250340 CACIMBA DE AREIA";4765,05
"250350 CACIMBA DE DENTRO";4250,68
"250355 CACIMBAS";4096,18
"250360 CAICARA";4809,29
"250370 CAJAZEIRAS";9333,21
"250375 CAJAZEIRINHAS";5766,52
"250380 CALDAS BRANDAO";5727,87
"250390 CAMALAU";5012,04
"250400 CAMPINA GRANDE";12891,80
"250403 CAPIM";4872,03
"250407 CARAUBAS";5013,95
"250410 CARRAPATEIRA";5356,45
"250415 CASSERENGUE";4709,57
"250420 CATINGUEIRA";4609,06
"250430 CATOLE DO ROCHA";6229,54
"250435 CATURITE";7323,03
"250440 CONCEICAO";4857,62
"250450 CONDADO";5184,71
"250460 CONDE";14921,46
"250470 CONGO";5964,84
"250480 COREMAS";4823,06
"250485 COXIXOLA";6244,61
"250490 CRUZ DO ESPIRITO SANTO";5024,35
"250500 CUBATI";5011,85
"250510 CUITE";4971,94
"250520 CUITEGI";4332,55
"250523 CUITE DE MAMANGUAPE";5262,13
"250527 CURRAL DE CIMA";4862,58
"250530 CURRAL VELHO";4596,22
"250535 DAMIAO";4253,45
"250540 DESTERRO";4472,56
"250550 VISTA SERRANA";4762,25
"250560 DIAMANTE";4414,08
"250570 DONA INES";4323,20
"250580 DUAS ESTRADAS";5773,36
"250590 EMAS";5492,51
"250600 ESPERANCA";7375,91
"250610 FAGUNDES";4624,29
"250620 FREI MARTINHO";4973,21
"250625 GADO BRAVO";4197,63
"250630 GUARABIRA";8711,71
"250640 GURINHEM";5065,20
"250650 GURJAO";5644,53
"250660 IBIARA";4339,37
"250670 IMACULADA";3907,04
"250680 INGA";4924,27
"250690 ITABAIANA";5417,28
"250700 ITAPORANGA";6000,74
"250710 ITAPOROROCA";5269,40
"250720 ITATUBA";5169,15
"250730 JACARAU";4929,01
"250740 JERICO";4918,17
"250750 JOAO PESSOA";15031,41
"250760 JUAREZ TAVORA";4042,84
"250770 JUAZEIRINHO";4971,70
"250780 JUNCO DO SERIDO";5101,90
"250790 JURIPIRANGA";5127,99
"250800 JURU";4151,51
"250810 LAGOA";4305,84
"250820 LAGOA DE DENTRO";4893,02
"250830 LAGOA SECA";5321,12
"250840 LASTRO";5200,67
"250850 LIVRAMENTO";4118,10
"250855 LOGRADOURO";4377,29
"250860 LUCENA";6438,02
"250870 MAE D'AGUA";4406,17
"250880 MALTA";4548,44
"250890 MAMANGUAPE";7198,90
"250900 MANAIRA";3738,95
"250905 MARCACAO";4743,45
"250910 MARI";4635,14
"250915 MARIZOPOLIS";4265,65
"250920 MASSARANDUBA";4507,38
"250930 MATARACA";13545,42
"250933 MATINHAS";7925,25
"250937 MATO GROSSO";4734,80
"250939 MATUREIA";4577,83
"250940 MOGEIRO";5012,50
"250950 MONTADAS";4267,87
"250960 MONTE HOREBE";4434,52
"250970 MONTEIRO";6017,80
"250980 MULUNGU";4447,29
"250990 NATUBA";3972,90
"251000 NAZAREZINHO";4411,67
"251010 NOVA FLORESTA";4568,41
"251020 NOVA OLINDA";4376,02
"251030 NOVA PALMEIRA";4874,76
"251040 OLHO D'AGUA";4377,60
"251050 OLIVEDOS";4806,98
"251060 OURO VELHO";5677,45
"251065 PARARI";7596,33
"251070 PASSAGEM";6075,84
"251080 PATOS";8257,78
"251090 PAULISTA";5130,92
"251100 PEDRA BRANCA";4700,43
"251110 PEDRA LAVRADA";5693,55
"251120 PEDRAS DE FOGO";11030,82
"251130 PIANCO";5733,05
"251140 PICUI";5023,13
"251150 PILAR";4080,40
"251160 PILOES";5800,61
"251170 PILOEZINHOS";5220,49
"251180 PIRPIRITUBA";4359,78
"251190 PITIMBU";5070,42
"251200 POCINHOS";6759,33
"251203 POCO DANTAS";4405,17
"251207 POCO DE JOSE DE MOURA";5184,33
"251210 POMBAL";6300,52
"251220 PRATA";6350,32
"251230 PRINCESA ISABEL";4585,32
"251240 PUXINANA";4654,32
"251250 QUEIMADAS";5450,72
"251260 QUIXABA";5685,83
"251270 REMIGIO";5095,20
"251272 PEDRO REGIS";4897,53
"251274 RIACHAO";4839,42
"251275 RIACHAO DO BACAMARTE";4970,82
"251276 RIACHAO DO POCO";5026,24
"251278 RIACHO DE SANTO ANTONIO";6428,57
"251280 RIACHO DOS CAVALOS";4321,28
"251290 RIO TINTO";6341,97
"251300 SALGADINHO";4109,28
"251310 SALGADO DE SAO FELIX";3889,10
"251315 SANTA CECILIA";4334,25
"251320 SANTA CRUZ";5206,34
"251330 SANTA HELENA";4923,63
"251335 SANTA INES";4344,83
"251340 SANTA LUZIA";6372,60
