 Produto interno bruto per capita - 2010 a 2013, referência 2010 - Brasil
PIB per capita por Município
Período:2010
"Município";"PIB_per_capita"
"150110 BAGRE";2763,89
"150120 BAIAO";4567,88
"150125 BANNACH";9926,38
"150130 BARCARENA";26798,71
"150140 BELEM";13346,95
"150145 BELTERRA";6640,27
"150150 BENEVIDES";11129,22
"150157 BOM JESUS DO TOCANTINS";5647,02
"150160 BONITO";4112,55
"150170 BRAGANCA";4458,86
"150172 BRASIL NOVO";5784,87
"150175 BREJO GRANDE DO ARAGUAIA";4774,87
"150178 BREU BRANCO";10798,76
"150180 BREVES";3905,20
"150190 BUJARU";8846,86
"150195 CACHOEIRA DO PIRIA";2888,31
"150200 CACHOEIRA DO ARARI";3827,26
"150210 CAMETA";3909,14
"150215 CANAA DOS CARAJAS";79278,25
"150220 CAPANEMA";9315,63
"150230 CAPITAO POCO";4442,00
"150240 CASTANHAL";9934,07
"150250 CHAVES";3921,96
"150260 COLARES";3665,82
"150270 CONCEICAO DO ARAGUAIA";6485,75
"150275 CONCORDIA DO PARA";4806,57
"150276 CUMARU DO NORTE";10277,07
"150277 CURIONOPOLIS";6307,14
"150280 CURRALINHO";2316,84
"150285 CURUA";7557,17
"150290 CURUCA";3819,55
"150293 DOM ELISEU";6023,86
"150295 ELDORADO DOS CARAJAS";6263,58
"150300 FARO";8695,54
"150304 FLORESTA DO ARAGUAIA";15042,51
"150307 GARRAFAO DO NORTE";4794,30
"150309 GOIANESIA DO PARA";5558,11
"150310 GURUPA";3567,24
"150320 IGARAPE-ACU";3775,98
"150330 IGARAPE-MIRI";4084,25
"150340 INHANGAPI";4480,44
"150345 IPIXUNA DO PARA";7414,84
"150350 IRITUIA";3344,19
"150360 ITAITUBA";9147,53
"150370 ITUPIRANGA";4664,11
"150375 JACAREACANGA";10085,09
"150380 JACUNDA";5069,08
"150390 JURUTI";10133,28
"150400 LIMOEIRO DO AJURU";7743,44
"150405 MAE DO RIO";6178,35
"150410 MAGALHAES BARATA";4204,21
"150420 MARABA";14578,31
"150430 MARACANA";3937,86
"150440 MARAPANIM";3735,92
"150442 MARITUBA";6724,85
"150445 MEDICILANDIA";9347,41
"150450 MELGACO";2798,40
"150460 MOCAJUBA";4795,20
"150470 MOJU";5670,58
"150480 MONTE ALEGRE";7035,88
"150490 MUANA";3184,39
"150495 NOVA ESPERANCA DO PIRIA";4862,90
"150497 NOVA IPIXUNA";4565,42
"150500 NOVA TIMBOTEUA";4077,23
"150503 NOVO PROGRESSO";11556,21
"150506 NOVO REPARTIMENTO";5573,26
"150510 OBIDOS";7273,84
"150520 OEIRAS DO PARA";5375,19
"150530 ORIXIMINA";25905,76
"150540 OUREM";5481,15
"150543 OURILANDIA DO NORTE";12179,02
"150548 PACAJA";5586,99
"150549 PALESTINA DO PARA";4771,93
"150550 PARAGOMINAS";14491,49
"150553 PARAUAPEBAS";97739,69
"150555 PAU D'ARCO";7010,46
"150560 PEIXE-BOI";3536,88
"150563 PICARRA";6981,45
"150565 PLACAS";4646,85
"150570 PONTA DE PEDRAS";4272,93
"150580 PORTEL";5064,50
"150590 PORTO DE MOZ";3864,79
"150600 PRAINHA";4816,67
"150610 PRIMAVERA";3364,18
"150611 QUATIPURU";3441,14
"150613 REDENCAO";9856,77
"150616 RIO MARIA";11231,33
"150618 RONDON DO PARA";7018,98
"150619 RUROPOLIS";3724,67
"150620 SALINOPOLIS";4633,22
"150630 SALVATERRA";3769,66
"150635 SANTA BARBARA DO PARA";4122,57
"150640 SANTA CRUZ DO ARARI";4118,76
"150650 SANTA IZABEL DO PARA";6056,10
"150655 SANTA LUZIA DO PARA";3790,24
"150658 SANTA MARIA DAS BARREIRAS";7251,75
"150660 SANTA MARIA DO PARA";6524,72
"150670 SANTANA DO ARAGUAIA";5823,17
"150680 SANTAREM";7755,40
"150690 SANTAREM NOVO";3937,53
"150700 SANTO ANTONIO DO TAUA";5048,51
"150710 SAO CAETANO DE ODIVELAS";3393,94
"150715 SAO DOMINGOS DO ARAGUAIA";4863,72
"150720 SAO DOMINGOS DO CAPIM";5015,56
"150730 SAO FELIX DO XINGU";5386,26
"150740 SAO FRANCISCO DO PARA";6228,16
"150745 SAO GERALDO DO ARAGUAIA";6450,91
"150746 SAO JOAO DA PONTA";4366,69
"150747 SAO JOAO DE PIRABAS";3588,52
"150750 SAO JOAO DO ARAGUAIA";4113,83
"150760 SAO MIGUEL DO GUAMA";6481,83
"150770 SAO SEBASTIAO DA BOA VISTA";4282,04
"150775 SAPUCAIA";10643,23
"150780 SENADOR JOSE PORFIRIO";4415,25
"150790 SOURE";3725,59
"150795 TAILANDIA";5299,76
"150796 TERRA ALTA";2660,62
"150797 TERRA SANTA";4203,59
"150800 TOME-ACU";5859,94
"150803 TRACUATEUA";3467,34
"150805 TRAIRAO";6097,23
"150808 TUCUMA";10302,94
"150810 TUCURUI";27163,10
"150812 ULIANOPOLIS";12532,85
"150815 URUARA";4563,56
"150820 VIGIA";3704,83
"150830 VISEU";4173,91
"150835 VITORIA DO XINGU";6826,55
"150840 XINGUARA";12193,37
"160005 SERRA DO NAVIO";8440,19
"160010 AMAPA";9672,52
"160015 PEDRA BRANCA DO AMAPARI";15919,17
"160020 CALCOENE";9266,73
"160021 CUTIAS";8518,71
"160023 FERREIRA GOMES";15732,82
"160025 ITAUBAL";7631,51
"160027 LARANJAL DO JARI";8680,51
"160030 MACAPA";13750,57
"160040 MAZAGAO";8847,33
"160050 OIAPOQUE";9420,06
"160053 PORTO GRANDE";12594,92
"160055 PRACUUBA";9823,00
"160060 SANTANA";10788,48
"160070 TARTARUGALZINHO";8170,41
"160080 VITORIA DO JARI";8357,73
"170025 ABREULANDIA";15590,92
"170030 AGUIARNOPOLIS";12674,14
"170035 ALIANCA DO TOCANTINS";8278,34
"170040 ALMAS";8295,04
"170070 ALVORADA";17157,47
"170100 ANANAS";6240,67
"170105 ANGICO";7927,94
"170110 APARECIDA DO RIO NEGRO";7642,50
"170130 ARAGOMINAS";5927,84
"170190 ARAGUACEMA";5884,62
"170200 ARAGUACU";11071,75
"170210 ARAGUAINA";13161,63
"170215 ARAGUANA";7406,96
"170220 ARAGUATINS";6172,41
"170230 ARAPOEMA";8027,66
"170240 ARRAIAS";11000,68
"170255 AUGUSTINOPOLIS";6378,75
"170270 AURORA DO TOCANTINS";6337,89
"170290 AXIXA DO TOCANTINS";5637,37
"170300 BABACULANDIA";5615,51
"170305 BANDEIRANTES DO TOCANTINS";14512,53
"170307 BARRA DO OURO";6182,53
"170310 BARROLANDIA";7145,92
"170320 BERNARDO SAYAO";8482,13
"170330 BOM JESUS DO TOCANTINS";7646,97
"170360 BRASILANDIA DO TOCANTINS";9188,58
"170370 BREJINHO DE NAZARE";9373,72
"170380 BURITI DO TOCANTINS";5063,42
"170382 CACHOEIRINHA";6092,22
"170384 CAMPOS LINDOS";19800,43
"170386 CARIRI DO TOCANTINS";17017,98
"170388 CARMOLANDIA";9061,12
"170389 CARRASCO BONITO";5178,84
"170390 CASEARA";6253,50
"170410 CENTENARIO";5965,31
"170460 CHAPADA DE AREIA";8321,73
"170510 CHAPADA DA NATIVIDADE";8428,35
"170550 COLINAS DO TOCANTINS";10143,92
"170555 COMBINADO";6341,05
"170560 CONCEICAO DO TOCANTINS";6094,21
"170600 COUTO MAGALHAES";7682,24
"170610 CRISTALANDIA";7503,81
"170625 CRIXAS DO TOCANTINS";12077,30
"170650 DARCINOPOLIS";7569,92
"170700 DIANOPOLIS";13815,93
"170710 DIVINOPOLIS DO TOCANTINS";8080,66
"170720 DOIS IRMAOS DO TOCANTINS";6511,18
"170730 DUERE";12144,94
"170740 ESPERANTINA";4755,49
"170755 FATIMA";8897,68
"170765 FIGUEIROPOLIS";13054,41
"170770 FILADELFIA";7023,10
"170820 FORMOSO DO ARAGUAIA";11628,57
